Primary Key,Date,Latitude,Longitude,Unit,Elevation,Provisional Seed Zone,Ecoregion,Recollection,GlobalID,Number of Plants Found,Collected Species,Other Species
20250520_40.77253631-105.54305576,5/20/2025 18:00,40.77253631,-105.5430558,NA,8057,1015SH,SR,no,07cdf99b-bda4-49e7-8341-1bb0404efa8f,3000,GETR,NA
20250520_40.76063685-105.54283788,5/20/2025 18:00,40.76063685,-105.5428379,NA,8045,1015SH,SR,no,0bf60bf6-b989-42ea-b722-8a3c3a90e661,4000,MOFI,NA
20250519_40.69622037-105.52623455,5/19/2025 18:00,40.69622037,-105.5262346,NA,6950,1520SH,SR,no,038638bb-9d8a-4ece-8ef3-8ce23a15b775,6425,HEPU3,NA
20250520_40.72171357-105.59281086,5/20/2025 18:00,40.72171357,-105.5928109,NA,8100,1015SH,SR,no,8adb227c-f9d4-4f4b-813e-26c4fb528767,1000,HEPU3,NA
20250529_40.75896001-104.46714864,5/29/2025 18:00,40.75896001,-104.4671486,NA,5294,1015SA,HP,no,9ddaebf6-e3b5-4f54-9d0a-ffb4cd9c035d,10000,BOGR,Bouteloua gracilis
20250604_40.45630055-105.42423453,6/4/2025 18:00,40.45630055,-105.4242345,NA,7047,1520SH,SR,no,a100dd78-dec7-4e6e-8a3b-2c376896bcf9,540,CAINH2,NA
20250611_42.73119987-108.8565137,6/11/2025 18:00,42.73119987,-108.8565137,NA,7126,0510SH,MR,no,953a796e-cf2b-42d4-b36b-ab4335ae1e2e,325,POSE,NA
20250614_43.57089203-109.88997151,6/14/2025 18:00,43.57089203,-109.8899715,NA,8615,0510SH,MR,no,17f07652-d467-4963-b68b-8544ba5b53c8,600,PEPR2,NA
20250615_43.65627847-109.93618302,6/15/2025 18:00,43.65627847,-109.936183,NA,7866,0005SH,MR,no,583bfea0-1cc4-4f74-9aca-6d2c62dde963,2700,PEPR2,NA
20250615_43.71343537-109.96688157,6/15/2025 18:00,43.71343537,-109.9668816,NA,8390,0005HU,MR,no,26355d4a-63b3-4b44-9e23-5edd070d9854,1200,PEPR2,NA
20250616_42.21952494-105.32919766,6/16/2025 18:00,42.21952494,-105.3291977,NA,6500,1015SH,SR,no,070209f8-819d-4cf2-9887-45922c23c0fb,810,CAINH2,NA
20250611_42.59190602-108.84722943,6/11/2025 18:00,42.59190602,-108.8472294,NA,8585,0510HU,MR,no,0a0fa849-c42b-49d3-8569-3b0ece0d71c9,200,PEPR2,NA
20250614_43.59197089-109.9409576,6/14/2025 18:00,43.59197089,-109.9409576,NA,8770,0005HU,MR,no,fd0516ab-d2df-4025-8182-18d07f2e0851,935,PEPR2,NA
20250625_38.68143607-105.88682822,6/25/2025 18:00,38.68143607,-105.8868282,NA,9280,0510SH,SR,no,d6b116e8-5e0a-4b40-bd5b-23241768f009,2750,CAINH2,NA
20250627_38.00164825-105.05739515,6/27/2025 18:00,38.00164825,-105.0573952,NA,8977,1015HU,SR,no,b41096d4-e315-4d10-8b2c-8c0b52db740b,150,PEGL3,NA
20250628_37.91191164-105.21128376,6/28/2025 18:00,37.91191164,-105.2112838,NA,8622,1015SH,SR,no,2ba9e2a6-e398-472b-ac3d-e10aa6c98070,10000,CAINH2,NA
20250626_38.03656671-105.18800616,6/26/2025 18:00,38.03656671,-105.1880062,NA,11174,0510VH,SR,no,a98c3943-a715-4745-a79d-2f3a29cf803e,1000,DAPA2,DAPA2
20250627_38.01724232-105.16664104,6/27/2025 18:00,38.01724232,-105.166641,NA,10660,0510HU,SR,no,c88d8110-3f70-4864-88d8-9cac3967ed0d,NA,DAPA2,DAPA2
20250627_38.01724232-105.16664104,6/27/2025 18:00,38.01724232,-105.166641,NA,10660,0510HU,SR,no,c88d8110-3f70-4864-88d8-9cac3967ed0d,NA,GETR,NA
20250627_38.01724232-105.16664104,6/27/2025 18:00,38.01724232,-105.166641,NA,10660,0510HU,SR,no,c88d8110-3f70-4864-88d8-9cac3967ed0d,NA,ERSU2,ERSU2
20250627_37.92603662-105.21410015,6/27/2025 18:00,37.92603662,-105.2141002,NA,8840,1015SH,SR,no,74275251-fd4e-4b93-97bb-d92189b8f5e2,1520,CAINH2,NA
20250628_37.9276444-105.20517846,6/28/2025 18:00,37.9276444,-105.2051785,NA,8938,1015SH,SR,no,39eefa79-cfe5-455e-a21b-9dfecbb88b95,3450,CAINH2,NA
20250709_39.52656686-105.74161082,7/9/2025 18:00,39.52656686,-105.7416108,NA,9700,0510SH,SR,no,54126f5a-4fc4-4314-97d0-c183230a9227,4000,PEPR2,NA
20250709_39.52656686-105.74161082,7/9/2025 18:00,39.52656686,-105.7416108,NA,9700,0510SH,SR,no,54126f5a-4fc4-4314-97d0-c183230a9227,6000,GETR,NA
20250709_39.52656686-105.74161082,7/9/2025 18:00,39.52656686,-105.7416108,NA,9700,0510SH,SR,no,1439a36e-5d1a-4602-9a00-d6e16164fe94,4000,PEPR2,NA
20250709_39.52656686-105.74161082,7/9/2025 18:00,39.52656686,-105.7416108,NA,9700,0510SH,SR,no,1439a36e-5d1a-4602-9a00-d6e16164fe94,6000,GETR,NA
20250711_39.04063356-107.97833203,7/11/2025 18:00,39.04063356,-107.978332,NA,10210,0510VH,SR,no,74f11380-0fd8-4bad-8bf9-36b19dfd448d,300,ERSP4,NA
20250711_39.03913957-108.16002037,7/11/2025 18:00,39.03913957,-108.1600204,NA,10200,0510HU,SR,no,18870adb-65fa-4041-88a5-e6f3c35d8270,NA,PERY,NA
20250711_39.01817391-108.0766528,7/11/2025 18:00,39.01817391,-108.0766528,NA,10502,0510VH,SR,no,675febb8-6fa6-4f30-ac15-6c440d061413,300,CALE9,CALE9
20250712_38.96774491-108.09507418,7/12/2025 18:00,38.96774491,-108.0950742,NA,10185,0510VH,SR,no,a14b0e3d-e235-4f18-b634-3763a8c30122,900,GETR,NA
20250713_38.63416914-106.75169495,7/13/2025 18:00,38.63416914,-106.751695,NA,10350,0510HU,SR,no,457f43a0-c5e1-4865-a9e4-d12da17d3111,480,GETR,NA
20250713_38.63078412-106.75385283,7/13/2025 18:00,38.63078412,-106.7538528,NA,10493,0510HU,SR,no,d9746d1f-85d1-4ede-b9ee-1a1d017145b2,850,POFE,NA
20250713_38.60002682-106.76206893,7/13/2025 18:00,38.60002682,-106.7620689,NA,9590,0510SH,SR,no,6e0f6f71-04c5-4b91-ba71-6a38cad4b518,2500,POSE,NA
20250713_38.60002682-106.76206893,7/13/2025 18:00,38.60002682,-106.7620689,NA,9590,0510SH,SR,no,6e0f6f71-04c5-4b91-ba71-6a38cad4b518,333,ACNE9,NA
20250520_40.77253631-105.54305576,5/20/2025 18:00,40.77253631,-105.5430558,NA,8057,1015SH,SR,no,de740819-8b66-4f58-976a-8591399e4bac,3000,GETR,NA
20250520_40.77253631-105.54305576,5/20/2025 18:00,40.77253631,-105.5430558,NA,8057,1015SH,SR,no,a24c85d2-3fc3-4cc3-8ee6-7f0ec67eb280,3000,GETR,NA
20250722_41.16322102-106.11531786,7/22/2025 18:00,41.16322102,-106.1153179,NA,8973,0510SH,SR,no,e6399e1b-ed00-480a-a4c8-697e4b11b875,1090,ACNE9,NA
20250722_41.16554793-106.13520381,7/22/2025 18:00,41.16554793,-106.1352038,NA,9112,0510HU,SR,no,f191531e-21e1-4706-a109-3ef7cb8513a2,670,ACNE9,NA
20250723_41.16553825-106.13894359,7/23/2025 18:00,41.16553825,-106.1389436,NA,9100,0510HU,SR,no,eef17f3c-53a5-4537-a25a-249bbc9db1f0,2000,ACNE9,NA
20250724_41.1312983-106.16912657,7/24/2025 18:00,41.1312983,-106.1691266,NA,8875,0510SH,SR,no,f5e50345-b6fe-4de9-8761-c39a389fe598,1000,ACNE9,NA
20250724_41.1312983-106.16912657,7/24/2025 18:00,41.1312983,-106.1691266,NA,8875,0510SH,SR,no,f5e50345-b6fe-4de9-8761-c39a389fe598,8000,DAIN,Danthonia intermedia
20250725_41.14832916-106.15432152,7/25/2025 18:00,41.14832916,-106.1543215,NA,9070,0510HU,SR,no,d5a69696-50e9-4112-bef1-50f03ff6f732,1000,ACNE9,NA
20250725_41.22388996-106.23345502,7/25/2025 18:00,41.22388996,-106.233455,NA,9465,0510VH,SR,no,49aca96c-a267-4202-97b8-0afccdc112f5,65,GETR,NA
20250725_41.22388996-106.23345502,7/25/2025 18:00,41.22388996,-106.233455,NA,9465,0510VH,SR,no,49aca96c-a267-4202-97b8-0afccdc112f5,8000,DECE,NA
20250726_41.02814657-106.59685391,7/26/2025 18:00,41.02814657,-106.5968539,NA,8420,0510HU,SR,no,b899cdee-7acc-40c6-b02b-7a3334ccb635,1500,ACNE9,NA
20250726_41.02814657-106.59685391,7/26/2025 18:00,41.02814657,-106.5968539,NA,8420,0510HU,SR,no,b899cdee-7acc-40c6-b02b-7a3334ccb635,2200,DECE,NA
20250727_41.06832439-106.63397144,7/27/2025 18:00,41.06832439,-106.6339714,NA,8970,0510VH,SR,no,9fa13bfb-41df-4859-8f9c-c77f0d22cf73,1500,ACNE9,NA
20250727_41.27831901-105.40119627,7/27/2025 18:00,41.27831901,-105.4011963,NA,8300,1015SH,SR,no,50577eb5-cc93-421d-9647-c1cef22bdace,250,ACNE9,NA
20250728_40.77257513-105.54287143,7/28/2025 18:00,40.77257513,-105.5428714,NA,8070,1015SH,SR,no,27981cbe-6196-493a-aa8a-528cfe38c3bb,8000,DECE,NA
20250805_39.844485636760226-105.49361465109884,8/5/2025 18:00,39.84448564,-105.4936147,NA,9445,0510HU,SR,no,ca93b5ae-fe7f-4e55-af1c-a4eee638cc33,NA,CAPU,Calamagrostis purpurascens
20250808_44.30493751-109.24259886,8/8/2025 18:00,44.30493751,-109.2425989,NA,8640,1015SH,MR,no,3666431a-df46-46f1-a295-85c417c22a54,5000,PEPR2,NA
20250808_44.30493751-109.24259886,8/8/2025 18:00,44.30493751,-109.2425989,NA,8640,1015SH,MR,no,3666431a-df46-46f1-a295-85c417c22a54,2000,GETR,NA
20250809_44.69261927-109.62467183,8/9/2025 18:00,44.69261927,-109.6246718,NA,6968,0510SH,MR,no,13a93ba3-bb9b-4bee-aa38-fec4239d85f7,1500,PEPR2,NA
20250810_44.95004374-109.63291388,8/10/2025 18:00,44.95004374,-109.6329139,NA,9513,0005VH,MR,no,bb67e76e-afca-448c-920d-b69c19ce70b1,4000,GETR,NA
20250819_39.65889969-105.87892287,8/19/2025 18:00,39.65889969,-105.8789229,NA,11900,0005VH,SR,no,b830d5f0-abbb-4bb0-a9c1-32be5d75aa46,2700,DROC,NA
20250820_39.37020255-106.07016845,8/20/2025 18:00,39.37020255,-106.0701685,NA,11690,0510VH,SR,no,0b768777-4812-43c9-b27a-7711dcc36021,10000,DECE,NA
20250821_39.70031048-106.34698171,8/21/2025 18:00,39.70031048,-106.3469817,NA,11310,0510HU,SR,no,f7285d3f-0c90-443b-b3bd-e25c19ab2666,60,GERO2,NA
20250821_39.70031048-106.34698171,8/21/2025 18:00,39.70031048,-106.3469817,NA,11310,0510HU,SR,no,f7285d3f-0c90-443b-b3bd-e25c19ab2666,2000,DECE,NA
20250821_39.70054223-106.34283066,8/21/2025 18:00,39.70054223,-106.3428307,NA,11320,0005VH,SR,no,e76111e5-7b7b-4d47-89de-5da431531a7b,1000,DECE,NA
20250822_39.49799618-106.2528054,8/22/2025 18:00,39.49799618,-106.2528054,NA,11500,0005VH,SR,no,839b5e00-156b-4ee5-9652-a1b546c44449,20000,CAEB,NA
20250822_39.49799618-106.2528054,8/22/2025 18:00,39.49799618,-106.2528054,NA,11500,0005VH,SR,no,839b5e00-156b-4ee5-9652-a1b546c44449,20000,DECE,NA
20250822_39.49799618-106.2528054,8/22/2025 18:00,39.49799618,-106.2528054,NA,11500,0005VH,SR,no,839b5e00-156b-4ee5-9652-a1b546c44449,2000,POAL2,NA
20250822_39.49799618-106.2528054,8/22/2025 18:00,39.49799618,-106.2528054,NA,11500,0005VH,SR,no,839b5e00-156b-4ee5-9652-a1b546c44449,3630,GERO2,NA
20250824_39.126711-106.58731441,8/24/2025 18:00,39.126711,-106.5873144,NA,12013,0005VH,SR,no,78f5e46b-782c-4a73-a629-a1cd25eefae0,1955,GERO2,NA
20250824_39.28137153-106.71867075,8/24/2025 18:00,39.28137153,-106.7186708,NA,11407,0005VH,SR,no,4971f1ab-bce0-4cf9-b8f0-6f0da822dddb,470,CAEB,NA
20250824_39.28137153-106.71867075,8/24/2025 18:00,39.28137153,-106.7186708,NA,11407,0005VH,SR,no,4971f1ab-bce0-4cf9-b8f0-6f0da822dddb,1250,DECE,NA
20250827_39.52584873419255-105.73531488887966,8/27/2025 18:00,39.52584873,-105.7353149,NA,9650,0510SH,SR,no,3a359bbd-19e1-4c64-a4db-89bb60abca22,5000,ARTRV,NA
20250827_39.606306119821966-105.72854859754443,8/27/2025 18:00,39.60630612,-105.7285486,NA,11217,0510HU,SR,no,df23ab64-c241-44ae-a205-4107d6fa19cd,1500,EREL9,Erigeron elatior
20250827_39.606306119821966-105.72854859754443,8/27/2025 18:00,39.60630612,-105.7285486,NA,11217,0510HU,SR,no,df23ab64-c241-44ae-a205-4107d6fa19cd,320,CAEB,NA
20250904_40.77708666678518-106.77404140122235,9/4/2025 18:00,40.77708667,-106.7740414,NA,8100,0510HU,SR,no,130ddccf-7dd6-4c1c-95e0-c449e34a26dc,500,HEMU3,NA
20250904_40.77708666678518-106.77404140122235,9/4/2025 18:00,40.77708667,-106.7740414,NA,8100,0510HU,SR,no,130ddccf-7dd6-4c1c-95e0-c449e34a26dc,1000,ERSP4,NA
20250903_42.96473289-103.44451504,9/3/2025 18:00,42.96473289,-103.444515,NA,3934,1015SH,NG,no,4a82b890-ea41-4cd0-a8fa-218abab0a451,5000,SCSC,NA
20250904_42.696699928384994-103.5798292729516,9/4/2025 18:00,42.6973921,-103.5788422,NA,4400,1015SH,HP,no,22db0ea3-e3a2-4548-8563-4452bf3c6ce2,415,ECAN2,NA
20250904_42.8288713-103.583594,9/4/2025 18:00,42.8288713,-103.583594,NA,4180,1015SH,NG,no,84eef968-68d4-42a0-b4c1-977c907443fa,2250,ECAN2,NA
20250904_42.8288713-103.583594,9/4/2025 18:00,42.8288713,-103.583594,NA,4180,1015SH,NG,no,84eef968-68d4-42a0-b4c1-977c907443fa,1680,SCSC,NA
20250905_42.82307181-103.61786852,9/5/2025 18:00,42.82307181,-103.6178685,NA,4240,1015SH,HP,no,b1681df2-40e4-4314-9e02-96111e15a863,9270,SCSC,NA
20250905_42.63791851-103.19341499,9/5/2025 18:00,42.63791851,-103.193415,NA,3971,1015SH,HP,no,4f31c6fe-1da8-4638-95f5-492411952b54,1330,ECAN2,NA
20250906_42.66472868-103.10089252,9/6/2025 18:00,42.66472868,-103.1008925,NA,4240,1520SH,HP,no,e40aeb0d-b20a-40fb-92a4-d0c6a656bcb3,475,ECAN2,NA
20250906_42.64314873-103.04533043,9/6/2025 18:00,42.64314873,-103.0453304,NA,4175,1520SH,HP,no,adea48a2-f4b6-4128-899b-1bc4afb48b81,3405,ECAN2,NA
20250906_42.83441434-103.00034191,9/6/2025 18:00,42.83441434,-103.0003419,NA,3310,1015SH,HP,no,2b1d30f8-e17d-4bc5-b1d3-e15cfa3ff9ec,250,ASSP,NA
20250921_39.34513833839446-105.26946161873639,9/21/2025 18:00,39.34513834,-105.2694616,NA,8013,1015SH,SR,no,bedf82ea-7ec7-4697-8e2d-7b949cb4cdf3,5000,MOFI,NA
20250921_39.34513833839446-105.26946161873639,9/21/2025 18:00,39.34513834,-105.2694616,NA,8013,1015SH,SR,no,bedf82ea-7ec7-4697-8e2d-7b949cb4cdf3,5000,PEVI4,NA
20250917_39.66985596-107.17329897,9/17/2025 18:00,39.66985596,-107.173299,NA,9825,1015HU,SR,no,c76b8269-820a-4a78-a8d7-3c33788913d4,10000,ARTRV,NA
20250921_40.24754271-105.42281424,9/21/2025 18:00,40.24754271,-105.4228142,NA,8224,1520SH,SR,no,80c52e52-0f6c-43f3-bc43-d6e25e23cde8,5000,MOFI,NA
20250922_40.24058575-105.43449287,9/22/2025 18:00,40.24058575,-105.4344929,NA,8365,1520SH,SR,no,f7bca525-a44b-4eb4-a3e2-8ba0c8ddd5a9,2160,MOFI,NA
20250924_39.56026860047132-105.99554750137031,9/24/2025 18:00,39.5602686,-105.9955475,NA,9242,0510SH,SR,no,33e74b31-441d-4165-9ddb-317b1c452d71,10000,ARAR8,ARAR8
20250924_39.837550674565136-106.3138597458601,9/24/2025 18:00,39.83755067,-106.3138597,NA,8589,0005SH,SR,no,33ce43de-468f-4bf6-9918-839983e8f5f3,300,PEST2,NA
20250925_39.83028268441558-106.32771955803037,9/25/2025 18:00,39.83028268,-106.3277196,NA,8606,0005SH,SR,no,f77ad9b8-1012-45d6-a7b4-e3b83f239654,5000,PERY,NA
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,NA,ERUM,ERUM
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,NA,ERSP4,NA
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,NA,MOFI,NA
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,NA,PEVI3,NA
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,300,PEST2,NA
20251001_40.05329273175448-105.45614261180162,10/1/2025 18:00,40.05329273,-105.4561426,NA,8488,1520SH,SR,no,8d6762e9-514c-41bc-844a-57fd874bbdc1,NA,HEMU3,NA
20250925_39.83716-106.3156,9/25/2025 18:00,39.83716,-106.3156,NA,8800,0005SH,SR,no,08c1a964-f976-4281-b2db-ee18b173a761,200,PEPR2,NA
20251018_37.10383797-101.93837654,10/18/2025 18:00,37.10383797,-101.9383765,NA,3470,1520SA,ST,no,600b96f3-4e3b-4c8a-b824-91251ea8c242,2000,SCSC,NA
20251015_37.17641071-103.61360611,10/15/2025 18:00,37.17641071,-103.6136061,NA,5910,1520SH,ST,no,689baefc-a9c2-4085-80a7-c3a7f7c83f3a,2280,LIPU,NA
20251016_37.66888169-103.83693113,10/16/2025 18:00,37.66888169,-103.8369311,NA,4935,1520SA,ST,no,54d2945c-72a9-490e-b66a-fcc38716571b,9205,BOCU,NA
20251017_37.12163332-103.00815493,10/17/2025 18:00,37.12163332,-103.0081549,NA,4700,1520SA,ST,no,4e18e9b7-5021-4692-8b4e-ff39cc19c6bc,2385,SCSC,NA
20251017_37.10781707-103.01355333,10/17/2025 18:00,37.10781707,-103.0135533,NA,4718,1520SA,ST,no,805e630b-0476-4e01-97cc-407dce09d4ee,4000,SCSC,NA
20251020_38.7409431-104.89538307,10/20/2025 18:00,38.7409431,-104.8953831,NA,8000,1015SH,SR,no,201364a0-60e2-49fe-9bd1-f5155b708e97,155,PEGL3,NA
20251016_37.13571337983012-103.00915569998324,10/16/2025 18:00,37.13571338,-103.0091557,NA,4650,1520SA,ST,no,856e1036-effb-42d9-adb8-9c09b2daa17f,150,PEAL2,NA
20251017_37.14814336504787-102.99656180664897,10/17/2025 18:00,37.14814337,-102.9965618,NA,4760,1520SA,ST,no,40de9c6b-2515-493f-85ae-b58a6b46b6ca,300,SCSC,NA
20251017_37.14814336504787-102.99656180664897,10/17/2025 18:00,37.14814337,-102.9965618,NA,4760,1520SA,ST,no,40de9c6b-2515-493f-85ae-b58a6b46b6ca,400,LIPU,NA
20251017_37.14814336504787-102.99656180664897,10/17/2025 18:00,37.14814337,-102.9965618,NA,4760,1520SA,ST,no,40de9c6b-2515-493f-85ae-b58a6b46b6ca,1000,BOCU,NA
20251016_37.136878464370966-103.01558973267674,10/16/2025 18:00,37.13687846,-103.0155897,NA,4690,1520SA,ST,no,47909708-204c-4d15-80ef-cc4ee8c37dae,3000,SCSC,NA
20251016_37.136878464370966-103.01558973267674,10/16/2025 18:00,37.13687846,-103.0155897,NA,4690,1520SA,ST,no,47909708-204c-4d15-80ef-cc4ee8c37dae,800,BOCU,NA
