Species,ObjectID,GlobalID,Species,Other Species,Comments,Approximate Area of Population,Approximate Number of Individual Plants Present and Accessible,Evidence of Disturbance/Damage,If Other Factor Please Specify,Notes,Percent of Population in Vegetative Growth,Percent of Population Flowering,Percent of Population with Developing Seed,Percent of Population with Mature Seed,Percent of Population Post Seed-Dispersal,Select the Most Frequently Occurring Seed Type,Other Damage:,Estimated Number of Healthy Seeds per Fruit:,Estimated Number of Fruits per Individual Plant,Viability Calculation Result,Are There at Least 50 Plants with Mature Seed in This Population?,Seeds_Collected,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Associated Species
NAVI4,1,31b480d7-ef1f-4cac-92f6-194f4f8f83b9,NAVI4,,,5,250000,"Grazed_Domestic,Trampled",,Minimal cattle presence,0,0,5,35,60,Healthy,,1,38,1900000,yes,yes,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,2,8114640e-8fb4-487e-b167-4ee576c33a81,BOGR2,,,5,100000,"Grazed_Wildlife,Trampled",,,10,20,70,0,0,Empty,,1,45,900000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPAI,3,55365288-b996-4f07-a9c2-fea6bd52a99d,SPAI,,,0.0005,18,No_Damage,,,5,0,5,40,50,Healthy,,25,10,900,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
KOMA,4,7f3766a3-5931-4a89-8f55-f42dbb038ac6,KOMA,,,5,50000,"Grazed_Wildlife,Trampled",,,30,0,70,0,0,Empty,,6,12,720000,yes,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
PSSP6,5,f65a993a-9d5b-4d93-8594-340c037ded44,PSSP6,,,5,10000,No_Damage,,,5,0,10,15,70,Empty,,1,8,16000,yes,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
PASM,6,a280a4be-4c40-42b6-9ec2-dca8c188d173,PASM,,,5,100000,"Trampled,Grazed_Wildlife",,,80,15,5,0,0,Empty,,3,10,600000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
RACO3,7,ff9c6341-1fc7-4cc8-a96f-d0323c2d6ea8,RACO3,,,2,500,No_Damage,,,10,80,10,0,0,Empty,,1,200,20000,no,no,,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,8,5f8a1cbe-f825-4987-9ec2-16a052059395,BOGR2,,,1,10000,Trampled,,Minimal damage due to cattle walking,50,25,25,0,0,Empty,,1,50,100000,no,no,Empty seed option selected in this survey is meant to indicate seed has not yet matured. ,ae8ee68c-de3b-4fd1-8642-18a926d20625,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
KOMA,9,a6239481-d23c-4773-8685-3bd2d75973ed,KOMA,,,1,5000,Trampled,,Minimal damage from cattle walking,50,0,50,0,0,Empty,,3,13,39000,no,no,Empty option selected meant to indicate immature seed.,ae8ee68c-de3b-4fd1-8642-18a926d20625,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,10,b914cb79-3924-4eb5-90af-5b33a133c116,NAVI4,,,9,500000,No_Damage,,Some beetles on inflorescences,10,0,10,70,10,Healthy,,15,9,13500000,yes,yes,,9c9f5e43-d1ee-44e4-a161-5f85b9fc4818,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
None,11,7580c974-de6b-4ffc-b9f1-c317f45ee31e,None,,New oil and gas pipeline suspected NE of road behind barbed wire fence close to HEVI4 from SEINET documented collection site.,0,0,Other,Oil and gas pipeline,,0,0,0,0,0,Healthy,,0,0,0,no,no,,47eca464-4b75-424a-84c3-d7eaf4cdc877,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPCR,12,e79dedab-f9be-4620-b198-cb5a7f950019,SPCR,,,15,1000000,No_Damage,,,5,5,30,50,10,Healthy,,100,27,540000000,yes,yes,,27df92ab-86e3-4a74-aee6-9957cc384099,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,13,170a4076-a514-457e-9a6f-7ce5383d6a6e,NAVI4,,,5,15000,No_Damage,,,20,0,10,30,40,Healthy,,6,10,180000,yes,no,,27df92ab-86e3-4a74-aee6-9957cc384099,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
NAVI4,14,588b86e3-770c-48dc-a537-74d2f9799107,NAVI4,,,7,4000,Grazed_Wildlife,,Very minimal damage,10,5,10,50,25,Healthy,,10,13,104000,yes,yes,,084aab3c-e7a6-4ec6-977e-cd3d432345b8,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
BOGR2,15,76709a0c-a82d-4ca7-9835-16434ea3b89d,BOGR2,,,,10000,No_Damage,,,10,15,75,0,0,Healthy,,,,,no,no,Location for collection ,4a790056-437c-4310-8c4b-07ceb49a31db,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
SPCR,16,08bf2b66-90e4-44a1-86a8-c8c1532538df,SPCR,,,,4000,No_Damage,,,5,5,50,30,10,Healthy,,,,,no,no,,4a790056-437c-4310-8c4b-07ceb49a31db,7/13/2023 21:28,ac15_CSUesri,7/13/2023 21:28,ac15_CSUesri,
HEVI4,17,7f46faf2-78bf-4ed2-8cb5-ec6f8ce418eb,HEVI4,,,,500,No_Damage,,,10,80,10,0,0,Healthy,,,,,no,no,"Other spp for potential collection: B gracilis, D purpurea",34054a11-ce1c-49f2-9997-419ccee5bc2b,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
KOMA,18,b27f0a28-59bb-4f98-93b2-7c61daebeeb0,KOMA,,,,2000,Other,Exotic spp present in small patches,,55,0,0,5,40,Healthy,,,,,no,no,Seeds shattered/passed maturity,a6e2d704-3aba-4e5e-a3b0-5a7a2aee69d7,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
RACO3,19,ba7f2499-34c4-4801-9587-f1bfc389f027,RACO3,,,,300,No_Damage,,,15,70,15,0,0,Healthy,,,,,no,no,"Potential collection site for Elymus glaucus/trachycaulis, must ID and confirm Elymus spp 1st",cba200c2-5a8f-412f-a59b-30b4c0e6ae60,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
DAPU,20,dbd627c5-15b0-4b66-a502-4f0384606a96,DAPU,,,,600,No_Damage,,,10,70,10,0,0,Healthy,,,,,no,no,"Other spp: N viridula, H villosa, K macrantha",19cae91b-49c6-4902-9298-eeb7f3655ff2,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,21,ee1a6fcc-c164-459a-91a5-5f09da1f77b2,BOGR2,,,,400,No_Damage,,,30,10,60,0,0,Healthy,,,,,no,no,"Other spp: D purpurea, H villosa, maybe P secunda, some N viridula, ",30ac24b8-8a2e-4995-a21e-1a2f0bb0bae2,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,22,4ab6ef62-95e7-4ee6-a072-2d9e80a5ca2b,BOGR2,,,,1000,Other,Disturbance,,10,20,70,0,0,Healthy,,,,,no,no,"Rough 4WD to access area; Other potential spp for collection: H villosa, P smithii, N viridula (small patch of A gerardii in vicinity along rd)",3a68f482-45a3-42f2-a4b7-a899b9b1d990,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,23,2a08078f-3a55-4534-ace0-40211fb416d9,BOGR2,,,,1000,"Grazed_Domestic,Other",Some non-native spp,,10,10,80,0,0,Healthy,,,,,no,no,"Other spp to collect: K macrantha, S cryptandrus, H villosa, some N viridula, 1 D purpurea, ",1f34f24a-44e6-41e1-a9d2-036ae04d5c4b,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
KOMA,24,8096c82e-88f8-4f5b-8cb5-172223651a5e,KOMA,,,,500,Grazed_Domestic,,,20,40,40,0,0,Healthy,,,,,no,no,"Other spp to collect: E trachycaulis, only a few Penstemon",06e593fa-3027-4d1c-8d41-0e3c1a444620,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
ELTR7,25,408ff1e0-39e2-4086-95ef-c965ff46c747,ELTR7,,,,200,"Grazed_Domestic,Other",Potential timber sale area several years or decades ago; potential re-seeded area,,10,60,30,0,0,Healthy,,,,,no,no,"Other spp to collect: N viridula present in smaller numbers, a few individuals of Penstemon spp; forested areas in Black Hills often timbered so DO NOT collect E trachycaulus or N viridula in forested areas with evidence of timber harvest as these 2 spp are in seed mix used post-timber harvest on BHNF",4e1e2a90-7c97-4e5d-8122-428614f0a22e,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
KOMA,26,5d7d9cb1-e81d-4928-ba78-d7d1d3f40c2d,KOMA,,,,1000,Grazed_Domestic,,,10,10,70,10,0,Healthy,,,,,yes,yes,Cutting plant near base to encourage further maturation of seed,b673142f-98a3-40cd-ade6-377aecbd4d99,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
THRH,27,9dc35c83-0707-4b5b-9c38-cd2cc0714186,THRH,Thermopsis spp.,,,1000,Other,Wildfire high severity in 2000,,5,0,10,80,5,Healthy,,,,,yes,yes,,711dd77b-d33f-4456-b052-03f7ee244149,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
PSSP6,28,552a169e-2552-4561-9c14-cf4e4bdfe89e,PSSP6,,,,50,"Timber_Harvest,Other",high severity wildfire in 2000,,10,0,5,15,70,Healthy,,,,,no,no,"Other spp to collect: K macrantha, some N viridula",02a95f6f-73b9-4030-9bce-4371e6303395,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
NAVI4,29,83f91818-a06a-4605-b014-633b59b2d740,NAVI4,,,,50,No_Damage,,,10,0,40,30,20,Healthy,,,,,no,no,"N viridula lookalike: Stipa columbiana;  Other potential spp to collect: P spicata, E trachycaulus",fbc69c0a-9097-4214-908f-bc06585b438e,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
NAVI4,30,87e3820b-f382-42ec-8480-2118ff576206,NAVI4,,,,200,No_Damage,,,10,10,50,20,10,Healthy,,,,,no,no,"Other potential spp to collect: KOMA, RACO",651f900c-e1f6-40ca-b617-599c91d49ec8,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
NAVI4,31,7a47b5cc-7cf3-4366-9704-a4bcb9d76d30,NAVI4,,,1,1500,"Grazed_Domestic,Timber_Harvest",,Across the road timber harvest completed with other trees marked,10,0,20,50,20,Healthy,,,,,yes,yes,,e2ee9338-73e3-4268-8202-c93e5c4f685e,7/24/2023 13:50,ac15_CSUesri,7/24/2023 13:50,ac15_CSUesri,
BOGR2,32,bc6792c1-c47c-4f3c-9d5e-b658ac45f22e,BOGR2,,,5,25000,No_Damage,,,5,0,10,65,20,Healthy,,1,20,100000,yes,yes,,f6a4ce02-0095-40da-8d71-1bfaedadf851,7/25/2023 21:25,ac15_CSUesri,7/25/2023 21:25,ac15_CSUesri,
HEVI4,33,66b67961-fe38-4653-ba6b-25d560ec12ab,HEVI4,,,0.8,5000,Insect_damage,,"Very minimal, removed beetles from bag",5,15,20,35,25,Healthy,,1,500,500000,yes,yes,,ea43fde5-48e3-4902-85a4-e5008140263f,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
BOGR2,34,09232bae-8c44-4a63-b895-ec7d1280b7d2,BOGR2,,,5,25000,No_Damage,,,5,30,50,10,5,Immature,,1,20,100000,yes,no,,ea43fde5-48e3-4902-85a4-e5008140263f,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
BOGR2,35,e0a987df-147c-4e35-b13b-95b76a7cbc55,BOGR2,,,2,10000,Grazed_Domestic,,,5,0,50,35,10,Healthy,,34,2,136000,yes,yes,,4fd5177d-3ef3-4de2-80bf-6fd18eed2c8a,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
PEAL2,36,7c3323c3-8b27-43a9-b0c6-7c5630a8d97b,PEAL2,Penstemon albidus,,1,400,Other,Evidence of shooting,,5,0,50,30,15,Immature,,30,25,45000,yes,yes,,45a90016-c8a7-4d93-bdc0-14cc2a64487c,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
RACO3,37,b176c922-3bbb-49b4-890d-b1dcabb653f3,RACO3,,,0.5,250,No_Damage,,,20,60,15,5,0,Immature,,50,10,10000,no,no,"On route to site, small patch.",45a90016-c8a7-4d93-bdc0-14cc2a64487c,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
BOGR2,38,b4ca42c3-94d2-40d3-8ff2-5267dca41fe7,BOGR2,,,10,50000,Other,Evidence of shooting,,10,5,60,20,5,Immature,,20,3,600000,no,no,,45a90016-c8a7-4d93-bdc0-14cc2a64487c,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
PASM,39,0044a2c0-78a3-4750-872a-43068ff6c2fa,PASM,,,1,1000,No_Damage,,,10,5,70,10,0,Immature,,1,96,19200,no,no,,45a90016-c8a7-4d93-bdc0-14cc2a64487c,7/28/2023 17:49,ac15_CSUesri,7/28/2023 17:49,ac15_CSUesri,
BOGR2,40,864ef354-a8ee-460b-9e87-07b2a44b97e9,BOGR2,,,3,10000,Grazed_Domestic,,,5,0,10,65,20,Healthy,,,,,yes,yes,,61ac9921-406a-4f14-afc7-a243a83b844b,7/28/2023 17:52,ac15_CSUesri,7/28/2023 17:52,ac15_CSUesri,
BOGR2,41,9ccbe32e-5c89-4243-9ad7-46b4de5103f9,BOGR2,,,,10000,Grazed_Domestic,,,5,0,10,65,20,Healthy,,20,40,1600000,yes,yes,,61ac9921-406a-4f14-afc7-a243a83b844b,7/28/2023 17:52,ac15_CSUesri,7/28/2023 17:52,ac15_CSUesri,
PASM,42,af40302b-6a8c-4c29-b6a0-e20143d2c80a,PASM,,,0.1,500,Grazed_Domestic,,,15,5,70,10,0,Healthy,,8,10,8000,no,no,"Other spp to collect: B gracilis, some R columnifera in area",9dfe99bb-29db-4516-be56-88803919cf1a,7/28/2023 17:53,ac15_CSUesri,7/28/2023 17:53,ac15_CSUesri,
BOGR2,43,f859be6b-5640-433e-a757-9deb909559a5,BOGR2,,,10,500000,Grazed_Domestic,,,5,0,30,55,10,Healthy,,20,3,6000000,yes,yes,Area filled with stickers making collectiions unpleasant and paiinful,c36b4f24-c9a3-40e0-bd5c-c95dc4d258fc,7/28/2023 17:53,ac15_CSUesri,7/28/2023 17:53,ac15_CSUesri,
NAVI4,44,5cd25f3e-7ed3-4670-ba7f-b9835b71893f,NAVI4,,,5,100000,"Other,Timber_Harvest",Severe wildfire in 2000,,10,0,10,40,40,Healthy,,1,40,800000,yes,yes,,eb2111c2-c8d0-4dc0-ac75-1e3f7840117b,7/28/2023 17:55,ac15_CSUesri,7/28/2023 17:55,ac15_CSUesri,
NAVI4,45,926c7509-7ac4-49df-9db6-dd8212063efb,NAVI4,,,3,10000,"Sprayed,Grazed_Domestic",,"FS POC sqid area potentially treated for leafy spurge, lack of forbs and abundance of grasses indicates this is likely",5,0,30,40,25,Healthy,,1,40,80000,yes,yes,,1ee83553-46c0-483c-be3c-09bde1429c0f,7/28/2023 17:56,ac15_CSUesri,7/28/2023 17:56,ac15_CSUesri,
PSSP6,46,966124ec-65f7-44c7-8110-1f2bf36b9a8f,PSSP6,,,,100,No_Damage,,,10,0,0,10,80,Healthy,,,,,no,no,"Other spp to collect: N viridula, maybe F idahoenesis (already shatteted)",358bad86-e39d-427e-81d7-806545f97ab4,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
POSE,47,f69e6e98-4bf6-4305-b44b-36aa33aa2701,POSE,,,,100,"Timber_Harvest,Insect_damage",,Timber harvest with large burn piles and mastication spead on forest floor; lots of bugs likely aphids on P secunda,10,0,40,40,10,Insect-damaged,,,,,no,no,Population scattered in forest and may regenerate after disturbance from timber harvest,a8d24779-4414-4545-a47f-a0de63b2c30c,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
FEID,48,12787ead-3ba7-4887-8beb-fe7a0a29de43,FEID,,,5,50000,"Insect_damage,Other",Human disturbance via ATVs and dispered camping,,5,0,40,40,15,Healthy,,5,10,500000,yes,yes,,f2dc163c-ff72-4d74-a37f-014a5fe95e54,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
HEVI4,49,d440648a-92b5-41e4-aaab-15143fc0b89a,HEVI4,,,5,2000,No_Damage,,,10,70,20,0,0,Healthy,,100,8,320000,no,no,,f2dc163c-ff72-4d74-a37f-014a5fe95e54,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
NAVI4,50,f0b256d4-505a-45d7-807e-c1c41e648d9e,NAVI4,,,2.5,300,No_Damage,,,10,0,45,35,10,Healthy,,9,14,7560,no,no,,f2dc163c-ff72-4d74-a37f-014a5fe95e54,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
KOMA,51,ed2c6352-e136-40cb-b211-22f987690ab8,KOMA,,,2,500,No_Damage,,,10,0,70,20,0,Healthy,,2,20,4000,no,no,,f2dc163c-ff72-4d74-a37f-014a5fe95e54,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
NAVI4,52,a17f246f-d5de-4ae1-8d50-7e35f97cc23b,NAVI4,,,5,1000,"Other,Insect_damage","Human disturbance: camping, ATVs",,10,5,55,25,5,Healthy,,9,14,25200,yes,yes,,978ad48c-fbb8-407e-ad10-1d3aac6b717f,8/4/2023 15:31,ac15_CSUesri,8/4/2023 15:31,ac15_CSUesri,
NAVI4,53,94e86fab-486a-4156-9439-057f44880be9,NAVI4,,,0.25,150,No_Damage,,,15,5,70,5,5,Immature,,14,9,3780,no,no,"VERY rough road for about 1 mi on the way in, good multi collection site: KOMA, maybe ELTR7, maybe ELGL, maybe POSE. another 1/2 mi down road is large SEINet collection",33f529c7-fffb-4ad2-ad9e-78a5b8b3fd40,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
PEVI3,54,59b416e5-8c47-4456-848e-96bfb510a54b,PEVI3,Pen spp.,,0.1,90,No_Damage,,,10,80,10,0,0,Immature,,1,40,720,no,no,VERY rough roads on way in CR 399,b3694cf3-4f99-487e-9c0c-464bd463403d,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
FEID,55,18dc61c8-fc5a-4d62-9d44-703eb9995aed,FEID,,,5,100000,"Trampled,Grazed_Domestic",,,5,0,5,35,55,Healthy,,6,9,1080000,yes,no,NOT collecting here due to how intermixed FEID is with grasses of similar heights/ appeaarcances. Would avoid in future,4bf98724-e732-49a1-b87e-dd5c47b4c150,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
FEID,56,01828e2c-d177-4c2f-930e-3af7fe0d5aad,FEID,,,2,500,No_Damage,,,10,5,70,15,0,Immature,,6,10,6000,no,no,"Good multi-collection site, KOMA, maybe ELTR7, maybe POSE",3350fe04-2f6f-4a24-8d9f-43fe071a465d,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
DECE,57,51a7f797-3bfd-407e-ab00-53cfad655449,DECE,,,,2000,No_Damage,,,10,10,75,5,0,Healthy,,,,,no,no,,5dd769ca-e4f7-4b23-b16c-c40e6e823d3b,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
FEID,58,d995b8a0-c604-4ad2-93f9-44bef9e205e8,FEID,,,1,7500,Insect_damage,,minimal insect damage ,10,10,25,50,5,Healthy,,,,,yes,yes,"Developing HEVI4, KOMA, maybe ELTR7, NAVI4.",129b531a-8e69-4d6d-a86a-95de71d6abcd,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
HEVI4,59,82ddd8dc-27f0-4650-b148-6888e28bfa40,HEVI4,,,1,250,No_Damage,,,20,70,10,0,0,Immature,,,,,no,no,,129b531a-8e69-4d6d-a86a-95de71d6abcd,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
NAVI4,60,fef83a01-d10c-4f7a-a29f-4e992cbc0a0c,NAVI4,,,1,300,No_Damage,,,5,5,60,25,5,Immature,,,,,no,no,,129b531a-8e69-4d6d-a86a-95de71d6abcd,8/4/2023 15:36,ac15_CSUesri,8/4/2023 15:36,ac15_CSUesri,
